,YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
61133,2020-sp,ARTD,302,Industrial Design IV,1,8,10,0,2,0,1,0,0,0,0,0,0,0,"Salamanca Garci, Juan M"
11846,2020-sp,ARTD,333,Type & Image,0,9,6,2,4,0,0,0,0,0,1,0,0,0,"Thomas, Nekita S"
62297,2020-sp,ARTD,499,Product Innovation Research,9,7,2,3,0,0,0,0,0,0,0,0,0,0,"Ruecker, Stanley"
28847,2020-sp,ARTH,240,Art of the Nineteenth Century,1,7,3,8,8,1,0,0,0,0,0,0,0,0,"O'Brien, David J"
88159,2020-sp,ARTH,299,Architecture of Death,0,19,8,0,3,1,0,1,0,0,0,0,0,0,"Forde, Jamie"
97490,2020-sp,ATMS,304,Radiative Transfer-Remote Sens,4,6,6,3,3,2,3,1,0,0,0,0,1,0,"Riemer, Nicole"
19569,2020-sp,ATMS,313,Synoptic Weather Forecasting,4,4,2,1,8,1,0,1,0,0,1,1,0,0,"Frame, Jeffrey"
37490,2020-sp,ATMS,314,Mesoscale Dynamics,0,1,3,1,4,3,4,7,0,0,0,0,0,0,"Frame, Jeffrey"
18132,2020-sp,BADM,199,Business Honors Ind Study,0,21,2,1,1,0,0,0,0,0,0,0,0,0,"Metzger, Robert L"
12369,2020-sp,BADM,326,Pricing Policies,2,14,5,0,7,0,0,1,0,0,0,0,1,0,"Liu, Yunchuan"
13041,2020-sp,BADM,337,Practicum in Supply Chain Mgt,36,18,1,2,0,0,0,0,0,0,0,0,0,0,"Mehrotra, Mili"
55250,2020-sp,BADM,395,Information Security Mgmt,1,14,5,0,1,0,0,0,0,0,0,0,0,0,"Parthasarathy, Rangarajan"
82822,2020-sp,BADM,521,Marketing Strategy,0,18,10,7,5,0,1,0,0,0,0,0,0,0,"Rindfleisch, Aric P"
26884,2020-sp,BADM,524,Pricing Strategy and Tactics,0,16,4,0,2,0,0,2,0,0,0,0,0,0,"Liu, Yunchuan"
86236,2020-sp,BADM,555,Info Sys Development and Mgt,6,13,3,3,1,1,0,0,0,0,0,0,0,0,"Haran, Vidya"
47944,2020-sp,BADM,574,Simulation and Risk Analysis,18,10,4,3,4,2,1,1,0,0,0,0,0,0,"Kwon, Hyok-Jon D"
30407,2020-sp,BADM,583,Global Supply Chain Mgmt,1,6,8,5,1,0,0,0,0,0,0,0,0,0,"Shin, Solee I"
69631,2020-sp,BADM,590,Analytics,0,33,0,0,7,0,0,0,0,0,0,0,0,1,"Sachdev, Vishal"
53995,2020-sp,BCOG,301,Intelligence and the Brain,0,1,11,15,0,0,0,0,0,0,0,0,0,0,"Barbey, Aron K"
59171,2020-sp,BIOE,479,Cancer Nanotechnology,11,13,0,0,1,0,0,0,0,0,0,0,0,0,"Nie, Shuming"
95713,2020-sp,BIOE,574,Inno/Financial Decision Making,0,25,0,0,0,0,0,1,0,0,0,0,0,0,"Bradley, Joe A"
49251,2020-sp,BUS,199,Gies Dean's Seminar II,0,41,0,0,3,0,0,0,0,0,0,0,0,0,"Green, Kerri A"
61014,2020-sp,CEE,415,Geometric Design of Roads,1,4,7,4,1,2,3,2,1,0,0,0,0,0,"Roesler, Jeffery R"
42969,2020-sp,CEE,418,Public Transportation Systems,1,5,6,6,1,3,1,1,0,0,0,0,0,0,"Ouyang, Yanfeng"
62250,2020-sp,CEE,433,Water Technology and Policy,1,7,14,7,7,3,5,1,0,0,0,0,2,0,"Stillwell, Ashlynn S"
58345,2020-sp,CEE,440,Fate Cleanup Environ Pollutant,1,8,10,3,0,0,0,0,0,0,0,0,0,0,"Espinosa Marzal, Rosa M"
60123,2020-sp,CEE,452,Hydraulic Analysis and Design,1,12,4,7,1,1,0,0,0,0,0,0,0,0,"Garcia, Marcelo H"
78974,2020-sp,CEE,453,Urban Hydrology and Hydraulics,0,0,10,11,2,2,1,0,0,0,0,0,0,0,"Schmidt, Arthur R"
56739,2020-sp,CEE,465,Design of Structural Systems,1,5,9,9,4,0,0,0,0,0,0,0,0,0,"Sychterz, Ann C"
59870,2020-sp,CEE,468,Prestressed Concrete,8,7,8,2,0,0,0,0,0,0,0,0,0,0,"Gurfinkel, German"
33069,2020-sp,CEE,498,Computer Methods,9,9,2,1,0,0,0,0,0,0,0,0,0,0,"Yan, Jinhui"
70070,2020-sp,CEE,526,Construction Optimization,12,29,10,5,0,0,0,0,0,0,0,0,0,0,"El-Rayes, Khaled A"
16146,2020-sp,CEE,598,Building Information Modeling,20,27,10,0,1,0,0,0,0,0,0,0,0,0,"Golparvar Fard, Mani"
46055,2020-sp,CHBE,455,Polymer Synthesis,1,7,0,3,4,3,0,4,0,0,0,0,0,0,"Guironnet, Damien S"
53795,2020-sp,CHEM,317,Inorganic Chemistry Lab,1,8,2,2,6,0,4,2,2,0,0,0,0,0,"Fout, Alison R"
92554,2020-sp,CHEM,437,Organic Chemistry Lab,2,5,3,2,4,3,2,0,0,0,0,0,0,0,"Zimmerman, Steven C"
77213,2020-sp,CHEM,576,Computational Chemical Biology,9,9,2,0,2,0,0,0,0,0,0,0,0,0,"Luthey-Schulten, Zaida A"
39800,2020-sp,CHLH,469,Environmental Health,16,8,3,1,1,1,0,1,0,0,0,0,0,0,"Adamson, Brynn C"
14222,2020-sp,CI,424,Child Development & Technology,0,22,3,2,0,0,0,1,0,0,0,0,0,0,"D'Angelo, Cynthia M"
48784,2020-sp,CI,448,Tchg Elem Social Studies,0,22,1,0,0,0,0,0,1,0,0,0,0,0,"Sudibyo, Leonardus E"
88488,2020-sp,CLCV,120,Crisis and Transformation,1,13,7,2,3,0,0,0,0,0,0,0,0,0,"Hadjipolycarpou, Maria"
28586,2020-sp,CLCV,132,"Class Archaeology, Rome-Italy",3,7,4,4,2,3,1,1,0,1,0,0,1,0,"Walters, Brian C"
92534,2020-sp,CMN,101,Public Speaking,0,12,9,1,1,0,0,1,0,0,0,0,0,0,"Junginger, Schylar M"
62339,2020-sp,CMN,102,Intro to Comm Theory & Res,46,71,32,15,25,10,6,9,5,2,1,2,7,0,"Quick, Brian L"
44856,2020-sp,CMN,112,Oral & Written Comm II,0,17,3,0,1,1,0,0,0,0,0,0,0,0,"Campbell, Dominique N"
10881,2020-sp,CMN,211,Business Communication,3,8,5,1,4,0,0,0,0,1,1,0,1,0,"Michael, Melanie"
73951,2020-sp,CMN,215,Interviewing,4,16,0,1,0,0,0,1,0,0,0,0,0,0,"Ditewig-Morris, Kathleen"
85676,2020-sp,CMN,326,Mass Media and the Audience,4,8,2,3,6,1,2,1,0,0,0,0,1,0,"Smith, Marisa A"
94572,2020-sp,CMN,375,World Making: Past & Future,5,39,15,17,11,1,6,2,0,1,0,0,3,0,"Giorgio, Grace A"
65045,2020-sp,CMN,396,War Rhetoric in Theatre & Film,0,9,3,7,5,2,2,0,0,2,2,0,2,0,"Bunch, Caroline M"
44020,2020-sp,CMN,396,Leadership Comm Theory/Pract,5,11,3,3,2,2,0,0,2,0,0,0,0,0,"Lammers, John C"
70286,2020-sp,CMN,396,Performing Rhetoric,0,18,3,1,5,0,0,0,0,0,0,0,1,0,"Gailey, Benjamin J"
28792,2020-sp,CMN,465,Social Marketing Health&Behav,1,5,8,5,5,4,0,1,0,0,0,0,0,0,"Quick, Brian L"
80737,2020-sp,CPSC,261,Biotechnology in Agriculture,1,5,0,0,15,0,0,6,0,0,2,0,2,0,"Moose, Stephen P"
24389,2020-sp,CPSC,431,Plants and Global Change,0,21,9,7,4,2,0,1,0,0,0,0,0,0,"Leakey, Andrew"
69347,2020-sp,CPSC,543,Appl. Multivariate Statistics,0,32,0,2,1,0,0,0,0,0,0,0,0,0,"Bollero, German A"
53603,2020-sp,CS,199,Python for Data,4,26,0,1,0,0,0,0,0,0,0,0,0,0,"Silva, Mariana T"
52820,2020-sp,CS,498,Intelligent Robots,3,6,11,10,1,0,0,0,0,0,0,0,0,0,"Hauser, Kris"
81092,2020-sp,CS,498,Art and Science of Web Prog,44,27,9,3,4,2,0,1,1,0,0,0,1,0,"Arsan, Deniz"
54555,2020-sp,CS,498,Virtual Reality,61,98,2,15,3,1,1,2,2,0,2,0,0,0,"Shaffer, Eric G"
37770,2020-sp,CS,598,Network Mining,8,10,8,2,0,0,2,0,0,1,0,0,0,0,"Tong, Hanghang"
95327,2020-sp,DANC,112,Hip Hop,19,1,0,0,0,0,0,0,0,0,0,0,1,0,"Anderson, Bevara"
75426,2020-sp,DANC,160,Beg Contemp Modern Tech Core,1,19,1,0,0,0,0,1,0,0,0,0,0,0,"Zbikowski, Abigail L"
53692,2020-sp,DANC,201,Yoga Practicum,0,13,6,0,1,1,0,0,0,0,0,0,1,0,"Erkert, Jan K"
42579,2020-sp,DANC,259,Contact Improv for Act/Mus/Dan,2,18,1,1,0,0,0,0,0,0,0,0,0,0,"Simson, Kirstie"
96741,2020-sp,DANC,260,Int Contemp Modern Tech Core,1,7,4,5,1,3,3,0,0,0,0,0,0,0,"Lehovec, Linda M"
46156,2020-sp,ECE,431,Electric Machinery,0,12,7,5,5,3,0,2,0,0,0,0,1,0,"Haran, Kiruba S"
26165,2020-sp,ECE,437,Sensors and Instrumentation,6,12,1,1,4,0,0,0,0,0,0,0,0,0,"Gruev, Viktor"
79210,2020-sp,ECE,441,Physcs & Modeling Semicond Dev,4,4,5,1,5,0,0,0,2,0,0,0,0,0,"Rakheja, Shaloo"
51574,2020-sp,ECE,455,Optical Electronics,2,7,6,3,3,1,2,1,1,1,0,1,0,0,"Eden, James G"
26854,2020-sp,ECE,460,Optical Imaging,2,15,0,0,4,0,0,0,0,0,0,0,0,0,"Popescu, Gabriel"
13273,2020-sp,ECE,528,Analysis of Nonlinear Systems,1,19,0,0,2,0,0,0,0,0,0,0,0,0,"Beck, Carolyn L"
19118,2020-sp,ECE,546,Advanced Signal Integrity,4,17,2,0,2,0,0,0,0,0,0,0,0,0,"Schutt-Aine, Jose E"
10651,2020-sp,ECE,586,"MDPs, Reinforcement Learning",0,19,6,4,1,0,0,0,0,0,0,0,0,0,"Hu, Bin"
25720,2020-sp,ECON,453,Econ Middle East & N. Africa,9,11,6,3,2,1,0,0,0,0,0,0,0,0,"Esfahani, Hadi S"
50887,2020-sp,ECON,490,International Trade,6,4,5,5,6,5,7,6,5,0,1,0,1,0,"Rodrigues Junio, Mauro"
96142,2020-sp,ECON,490,Economics of Coordination,0,2,3,3,4,5,4,1,2,0,0,0,0,0,"Toossi, Ali"
42484,2020-sp,ECON,503,Econometrics,11,7,7,6,5,0,0,0,0,0,0,0,0,0,"Agiakloglou, Christos"
64013,2020-sp,ENG,398,ELA Leadership Training,0,24,1,1,0,0,0,0,0,0,0,0,0,0,"Forman, Gretchen M"
97133,2020-sp,ENG,571,Theory Energy & Sustain Engrg,5,15,2,2,2,1,0,1,0,0,0,0,0,0,"Abelson, John R"
36528,2020-sp,ENGL,119,Harry Potter and More,7,14,3,0,1,0,0,0,0,0,0,0,0,0,"Baron, Iryce W"
96453,2020-sp,ENGL,219,Global Epidemics,1,15,0,1,1,0,0,1,3,0,0,0,3,0,"Soto Crespo, Ramon E"
29217,2020-sp,ENGL,301,Critical Approaches to Lit,0,22,1,0,1,0,0,0,0,0,0,0,0,0,"Hansen, James A"
22684,2020-sp,ENGL,325,Queer Migrations,0,15,3,1,2,2,0,1,0,0,0,0,0,0,"Somerville, Siobhan B"
54879,2020-sp,ENGL,350,Writing about Lit Text Culture,0,4,7,4,4,3,0,0,0,0,0,0,0,0,"Courtemanche, Eleanor"
99998,2020-sp,ENGL,373,Haunted Cinema,0,12,7,8,1,0,0,0,0,0,0,0,1,0,"Newcomb, John T"
84671,2020-sp,ENGL,429,Eighteenth-Century Fiction,5,18,5,0,0,0,1,0,0,0,0,0,0,0,"Pollock, Anthony"
12434,2020-sp,EPOL,500,EdD Essentials Seminar,0,37,0,0,0,1,0,0,0,0,0,0,0,0,"Lee, Sharon S"
38176,2020-sp,EPS,201,Foundations of Education,8,7,6,0,1,0,0,0,0,0,0,0,0,0,"Adeyemo, Adeoye O"
73084,2020-sp,EPS,500,Intro to Qualitative Methods,0,28,2,0,0,0,0,0,0,0,1,0,4,0,"Kang, Hyun-Sook"
97841,2020-sp,EPSY,490,Prep for Recruitment Counselor,36,43,1,3,1,0,0,0,0,0,0,0,0,0,"Ogunfemi, Nimot M"
12513,2020-sp,EPSY,587,Hierarchical Linear Models,0,27,4,2,1,0,0,1,0,0,0,0,0,0,"Anderson, Carolyn J"
99682,2020-sp,EURO,415,Europe and the Mediterranean,1,15,2,1,1,0,0,0,0,0,0,0,2,0,"Rota, Emanuel"
70452,2020-sp,FIN,422,Cases in Corporate Finance,0,7,13,8,9,0,1,0,0,0,0,0,0,0,"Peters, Stephen R"
49966,2020-sp,FIN,446,Real Estate Financial Markets,8,33,17,5,1,0,0,0,0,0,0,0,0,0,"Tchistyi, Alexei V"
92829,2020-sp,FIN,514,Financial Engineering II,2,10,14,7,4,2,0,0,0,0,0,0,0,0,"Widdicks, Martin"
59397,2020-sp,FIN,515,Fixed Income Portfolios,2,10,6,6,4,1,0,0,0,0,0,0,0,0,"Kargar, Mahyar"
26095,2020-sp,FIN,527,Mergers & Acquisitions Topics,2,22,8,3,3,0,0,1,0,0,0,0,0,0,"Almeida, Heitor"
71174,2020-sp,FIN,579,Applied Portfolio Management,4,12,8,7,2,0,0,0,0,0,0,0,0,0,"Excell, Richard O"
27293,2020-sp,FR,102,Elementary French II,5,6,5,1,2,1,0,0,0,0,0,0,1,0,"Swisher, Emily R"
14241,2020-sp,FR,103,Intermediate French I,1,10,1,2,4,0,0,0,3,0,0,0,0,0,"Mutidjo, Anne M"
99358,2020-sp,FSHN,418,Food Analysis,4,20,0,0,6,0,0,5,0,0,0,0,0,0,"Cadwallader, Keith R"
60499,2020-sp,FSHN,461,Food Processing I,2,15,2,0,1,2,0,0,0,0,0,0,0,0,"Artz, William E"
84477,2020-sp,FSHN,462,Food Processing II,3,6,2,3,3,1,1,0,2,0,0,0,0,0,"Takhar, Pawan S"
59713,2020-sp,FSHN,464,Beverage Science & Technology,6,39,0,4,4,1,0,0,0,0,0,0,0,0,"Bohn, Dawn M"
54370,2020-sp,FSHN,595,Genetics Epigenetics Nutrition,8,17,0,1,0,0,0,0,0,0,0,0,0,0,"Pan, Yuan-Xiang"
42792,2020-sp,GEOG,465,Transportation &Sustainability,4,11,6,0,0,0,0,2,0,0,0,0,0,0,"Cidell, Julie L"
68082,2020-sp,GEOG,479,CyberGIS,0,14,5,3,4,0,0,1,0,0,0,2,0,0,"Padmanabhan, Anand"
27984,2020-sp,GER,260,The Holocaust in Context - ACP,8,4,1,2,3,1,0,1,1,0,0,0,0,0,"Hunt, Anna E"
66051,2020-sp,GER,465,History of Germanic Languages,5,12,1,2,1,0,1,0,0,0,0,0,0,0,"Webster, Charles R"
57905,2020-sp,GLBL,200,Foundations of Research,14,4,2,0,1,0,0,0,2,0,0,0,0,0,"Bonatti, Valeria"
96049,2020-sp,GLBL,296,"Water, Hmn Rights & Dev",2,12,5,0,1,0,0,1,0,0,0,0,0,0,"Kilgore, James W"
24875,2020-sp,GLBL,296,Global & Mass Incarceration,1,12,5,3,0,0,0,0,0,0,0,0,0,0,"Kilgore, James W"
35497,2020-sp,HIST,105,Latin America to Independence,1,16,11,3,1,0,0,0,0,0,0,0,0,0,"Brosseder, Claudia R"
21710,2020-sp,HIST,227,Modern Japanese History,0,15,1,5,6,3,1,2,1,0,0,0,1,0,"Wilson, Roderick I"
70711,2020-sp,HIST,265,Science in Western Culture,0,5,6,12,5,3,3,1,1,0,0,0,2,0,"Sepkoski, David C"
75159,2020-sp,HIST,348,Early Euro Absolut & Expansion,0,4,9,4,2,1,1,1,0,0,0,0,0,0,"Koslofsky, Craig M"
78626,2020-sp,HIST,357,Modern France,2,0,11,6,6,0,1,0,0,0,0,0,1,0,"Chaplin, Tamara E"
32174,2020-sp,HIST,361,Euro Thght & Soc Since 1789,0,16,6,2,0,2,0,0,0,0,0,0,1,0,"Allen, Ryan"
86644,2020-sp,HIST,390,Sport and Society,0,15,11,3,1,1,1,0,0,0,0,0,1,0,"Burgos, Adrian"
14766,2020-sp,HRD,572,e-Learning Ecologies,23,8,2,2,0,0,0,0,0,0,0,0,0,0,"Cope, William"
85176,2020-sp,IB,271,Organismal Biology,8,12,0,1,0,0,0,0,0,0,0,0,0,0,"Cheng-De Vries, Chi-Hing"
11489,2020-sp,IB,299,Biology of Sex,23,8,0,1,1,0,0,1,0,0,0,0,0,0,"Hauber, Mark E"
84296,2020-sp,IE,511,Integer Programming,3,11,8,1,1,0,0,0,0,0,0,0,0,0,"Etesami, Seyed Rasoul"
57516,2020-sp,IE,525,Numerical Methods in Finance,3,19,9,8,6,6,0,1,0,0,0,0,0,0,"Chronopoulou, Alexandra"
52310,2020-sp,IE,526,Stochastic Calculus in Finance,1,17,8,10,7,5,0,1,0,0,0,0,0,0,"Sowers, Richard B"
26439,2020-sp,IS,418,Community Engagement,2,12,2,0,2,1,0,1,1,0,0,0,0,0,"Wolske, Martin B"
42896,2020-sp,IS,490,Teen Library Programs,11,11,2,0,0,0,0,1,0,0,0,0,0,0,"Magee, Rachel M"
13867,2020-sp,IS,505,Adm Mgt of Libs Info Centers,0,21,1,2,0,0,0,0,0,0,0,0,0,0,"Alvarez, Barbara A"
79304,2020-sp,IS,515,Media Literacy for Youth,19,6,1,0,1,1,0,0,0,0,0,0,0,0,"Mattson, Kristen M"
12195,2020-sp,IS,516,School Library Media Center,0,23,0,0,0,0,0,0,0,0,0,0,1,0,"Shasteen, Ruth H"
10190,2020-sp,IS,525,Government Information,1,8,10,1,1,0,0,0,0,0,0,0,0,0,"Matheson, Scott A"
40173,2020-sp,IS,532,Theory & Pract Data Cleaning,9,18,1,1,1,1,0,0,0,0,0,0,0,0,"Ludaescher, Bertram"
30198,2020-sp,IS,581,Adm and Use Archival Materials,2,24,0,0,0,0,0,0,0,0,0,0,1,0,"Salrin, Melissa M"
84573,2020-sp,IS,590,Comics: Advising Readers,8,8,7,0,0,0,0,3,0,0,0,0,0,0,"Tilley, Carol L"
44973,2020-sp,IS,590,Public Librarianship,0,24,0,0,0,0,0,0,1,0,0,0,0,0,"Holba Puacz, Jeanne T"
12574,2020-sp,JOUR,361,Readings in Sports Journalism,0,20,3,1,0,0,0,0,0,1,0,0,0,0,"Lewis, Jonothan B"
85243,2020-sp,JOUR,460,Broadcast Meteorology,0,11,1,6,6,0,0,3,0,0,1,0,1,0,"Kieser, Edward A"
25191,2020-sp,KIN,102,Individual and Dual Activities,0,27,0,0,5,0,0,4,0,0,0,0,0,0,"Malloy, Nicole J"
18356,2020-sp,KIN,103,Indoor Court Activities,0,27,0,0,0,0,0,0,0,0,1,0,0,0,"Wei, Mengyi"
99212,2020-sp,KIN,104,Skating Activities,0,26,0,0,4,0,0,2,0,0,1,0,3,0,"Biernacki, Rebecca L"
97459,2020-sp,KIN,107,Aquatic Sport Activities,14,3,0,1,2,0,0,0,0,0,0,0,1,0,"Rivera Maza, Andrea M"
94649,2020-sp,KIN,109,Team Sport Activities,17,2,0,0,2,0,0,1,0,0,0,0,0,0,"Shelley, Susan"
54162,2020-sp,KIN,452,Clin & Applied Ex Physiology,5,18,1,1,2,0,0,0,0,0,0,0,0,0,"Konopka, Adam R"
91749,2020-sp,KIN,494,"Food, Health & Wellness",0,43,0,0,4,0,0,0,0,0,0,0,0,0,"Khan, Naiman A"
22488,2020-sp,KIN,494,Physiology of High Performance,8,11,0,1,3,0,0,0,0,0,0,0,0,0,"Harris, Alana"
94146,2020-sp,LA,234,Site Design Studio,21,0,0,0,1,0,0,1,0,0,0,0,0,0,"O'Shea, Conor E"
34424,2020-sp,LA,343,Landscape Construction,3,1,8,3,2,0,3,1,1,0,1,0,1,0,"Dharwadker, Aneesha"
57207,2020-sp,LA,446,Sustainable Planning Seminar,0,20,4,0,1,0,0,0,0,0,0,0,0,0,"Deal, Brian M"
69888,2020-sp,LAW,654,International Trade Policy,0,18,0,0,7,0,0,0,0,0,0,0,0,0,"Davey, William J"
53130,2020-sp,LEAD,170,Leading Student Organizations,13,9,2,2,0,0,0,1,0,0,0,0,2,0,"Smist, Jennifer A"
46874,2020-sp,LEAD,260,Intro to Leadership Studies,31,13,3,4,1,2,4,3,0,0,0,0,1,0,"Keating, Kari H"
46415,2020-sp,LER,110,Labor and Social Movements,0,4,3,3,7,1,3,1,0,0,1,0,2,0,"Saute, Robert"
39458,2020-sp,LER,568,Firm Performance and HR,0,8,4,5,9,7,0,0,0,0,0,0,0,0,"Weaver, Andrew"
12205,2020-sp,LER,590,Game Theory & HR Strategy,2,41,10,0,1,0,0,0,0,0,0,0,0,0,"Lamare, James R"
97715,2020-sp,LER,590,Workforce Policies & Partnersh,0,8,9,5,8,0,0,0,0,0,0,0,0,0,"Weaver, Andrew"
71805,2020-sp,LING,425,Intro to Psycholinguistics,5,5,5,4,0,0,1,1,0,0,0,1,1,0,"Green, Jeffrey J"
82051,2020-sp,LLS,265,Politics of Hip Hop,0,33,0,0,0,0,2,0,0,0,0,0,0,0,"Coyoca, Wilfred D"
90639,2020-sp,MACS,205,Introduction to Documentary,0,9,5,3,4,2,0,0,0,0,0,0,0,0,"Rosenstein, Jay M"
76273,2020-sp,MACS,262,Survey of World Cinema II,0,8,4,3,6,0,0,2,0,0,0,0,0,0,"Long, Derek R"
57051,2020-sp,MACS,466,Japanese Cinema,2,5,5,4,3,0,1,0,1,0,2,0,0,0,"Tierney, Robert"
26052,2020-sp,MATH,525,Algebraic Topology I,3,10,2,3,2,1,0,3,0,0,0,0,0,0,"Rezk, Charles W"
41920,2020-sp,MATH,541,Functional Analysis,17,5,0,0,1,0,0,1,0,0,0,0,1,0,"Motakis, Pavlos"
85078,2020-sp,MBA,503,Finance I,0,17,12,9,2,5,0,0,0,0,0,0,0,0,"Raskie, Sterling"
15189,2020-sp,MBA,503,Data Analytics II,5,23,13,4,0,0,0,0,0,0,0,0,0,0,"Subramanyam, Ramanath"
40479,2020-sp,MBA,503,Organization Theory & Design,2,14,6,9,7,6,0,1,0,0,0,0,0,0,"Kraatz, Matthew S"
84616,2020-sp,MBA,503,Strategy,7,17,13,6,1,1,0,0,0,0,0,0,0,0,"Somaya, Deepak"
81553,2020-sp,MBA,504,Finance II,14,22,6,3,0,0,0,0,0,0,0,0,0,0,"Raskie, Sterling"
34575,2020-sp,MBA,504,Accountancy II,7,8,9,7,8,5,1,0,0,0,0,0,0,0,"Augusto Sampaio, Gerlando"
68386,2020-sp,MBA,504,Ethical Leadership,4,10,14,11,6,0,0,0,0,0,0,0,0,0,"Lansing, Paul"
35195,2020-sp,MBA,561,Intro to Bus Analyt: Data&Firm,212,230,87,38,22,6,2,2,0,1,2,0,5,16,"Guymon, Ronald N"
59419,2020-sp,MCB,429,Cellular Microbiology &Disease,0,10,3,1,5,6,0,2,0,0,1,0,2,0,"Kehl-Fie, Thomas"
94672,2020-sp,MCB,432,Computing in Molecular Biology,0,13,5,2,1,2,2,0,0,1,0,1,2,0,"Ho, Mengfei"
19514,2020-sp,MCB,458,Basic Human Pathology,23,5,8,4,4,2,0,0,0,0,0,0,0,0,"Freund, Gregory G"
80056,2020-sp,MCB,493,Epigenetics,1,12,1,2,6,0,0,2,0,0,0,0,0,0,"Belmont, Andrew S"
72602,2020-sp,ME,431,Mechanical Component Failure,1,40,0,0,0,0,0,1,0,0,0,0,0,0,"Downing, Stephen D"
84325,2020-sp,ME,452,Num Control of Mfg Processes,1,11,0,2,7,0,0,1,0,0,0,0,0,0,"Ferreira, Placid M"
75451,2020-sp,ME,472,Introduction to Tribology,7,7,6,0,2,0,0,0,0,0,0,0,0,0,"Dunn, Alison C"
40062,2020-sp,ME,510,Advanced Gas Dynamics,7,14,3,2,0,0,0,0,0,0,1,0,0,0,"Dutton, J C"
11640,2020-sp,MSE,395,Materials Design,45,31,10,0,0,3,0,0,0,0,0,0,0,0,"Dillon, Shen J"
22546,2020-sp,MSE,453,Plastics Engineering,0,2,4,3,7,1,0,2,2,0,0,0,0,0,"Reifschneider, Louis"
27285,2020-sp,MSE,583,Dynamics of Complex Fluids,2,4,5,3,7,0,0,0,0,0,0,0,0,0,"Schweizer, Kenneth S"
97569,2020-sp,MUS,130,Introd to the Art of Music,82,73,21,7,7,6,2,7,4,0,0,0,5,0,"Siletti, Michael J"
32588,2020-sp,MUS,261,University Mixed Chorus,0,24,3,0,1,2,0,0,1,0,0,0,0,0,"Megill, Andrew D"
31794,2020-sp,MUS,400,Counterpoint and Fugue,7,8,1,1,3,0,0,1,0,0,0,0,0,0,"Lund, Erik R"
75765,2020-sp,MUS,418,Regional Studies in Musicology,6,10,5,0,4,0,0,0,0,0,0,0,0,0,"Eagen, Megan K"
15959,2020-sp,MUS,444,Healthy Music Practices,0,21,1,0,2,0,0,1,0,0,2,0,0,0,"Sweet, Bridget M"
18425,2020-sp,MUS,499,Jazz Forum,6,10,10,0,1,1,0,0,0,0,0,0,0,0,"McNeill, Charles L"
63756,2020-sp,NPRE,441,Radiation Protection,5,19,8,7,0,0,0,1,0,0,0,0,0,0,"Meng, Ling J"
33953,2020-sp,NPRE,455,Neutron Diffusion & Transport,0,7,6,0,2,2,0,3,1,1,1,1,1,0,"Kozlowski, Tomasz"
91671,2020-sp,NPRE,458,Design in NPRE,0,15,9,3,0,0,0,3,0,0,0,0,0,0,"Stubbins, James F"
52962,2020-sp,NRES,101,Wildlife Conserv 21st Century,25,41,19,10,18,12,5,5,0,0,0,0,8,0,"Ward, Michael P"
97630,2020-sp,NRES,420,Restoration Ecology,3,6,4,5,2,1,2,2,1,0,0,0,0,0,"Miller, James R"
82382,2020-sp,NRES,475,Environmental Microbiology,4,13,9,2,5,3,3,0,0,0,0,0,0,0,"Kent, Angela D"
58732,2020-sp,NRES,499,NRES 456 Group Project,15,10,8,7,12,1,5,1,1,2,1,0,0,0,"Miller, James R"
17242,2020-sp,NS,303,Leadership and Management,1,12,5,2,0,0,1,0,0,0,0,0,0,0,"Corapi, Anthony P"
90905,2020-sp,PHIL,107,Intro to Political Philosophy,3,10,8,5,0,1,0,1,1,0,0,0,0,0,"Varden, Helga"
16711,2020-sp,PHYS,280,Nuclear Weapons & Arms Control,24,13,9,5,4,2,0,0,1,0,1,0,0,0,"Grosse Perdekam, Matthias"
85786,2020-sp,PHYS,403,Modern Experimental Physics,2,18,5,2,0,1,0,0,0,0,0,0,0,0,"Colla, Eugene V"
18455,2020-sp,PHYS,470,Subatomic Physics,18,9,7,1,4,1,1,1,1,0,0,0,0,0,"El-Khadra, Aida X"
42640,2020-sp,PHYS,515,General Relativity I,3,6,4,3,3,3,2,1,0,0,0,0,1,0,"Yunes, Nicolas"
47883,2020-sp,PLPA,204,Introductory Plant Pathology,0,8,11,7,6,7,3,2,1,0,2,0,1,0,"Schroeder, Nathan E"
85630,2020-sp,PS,191,Civic Careers,0,6,11,3,1,0,0,0,0,0,0,0,0,0,"Hinchliffe, Joseph"
31336,2020-sp,PS,300,FeminismBioethicsBiopolitics,0,9,5,3,6,0,0,0,0,0,0,0,0,0,"Frost, Samantha L"
79251,2020-sp,PS,322,Law and Public Policy,1,7,23,19,15,1,6,4,4,0,0,1,0,0,"Hinchliffe, Joseph"
94782,2020-sp,PS,351,Gov & Pol Post-Soviet States,7,18,30,14,1,4,1,1,1,0,0,0,3,0,"Leff, Carol S"
37242,2020-sp,PS,394,Crisis Diplomacy,0,6,10,4,5,1,0,0,0,0,0,0,0,0,"Vasquez, John A"
12080,2020-sp,PSYC,306,Psychology of Morality,1,15,9,14,11,8,1,0,3,0,0,1,0,0,"Laurent, Sean M"
22786,2020-sp,PSYC,321,Human Memory,8,7,0,9,3,0,1,1,0,2,1,0,0,0,"Sahakyan, Lili"
